City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
119,Qovlar,AZ,40.948,45.735,47.08,53,5,4.68,clear sky
120,Thompson,CA,55.7435,-97.8558,8.76,66,100,3.44,light snow
121,Buchanan,LR,5.8808,-10.0467,79.23,87,97,6.85,moderate rain
122,Saint-Philippe,RE,-21.3585,55.7679,78.39,82,19,5.44,few clouds
123,Mar Del Plata,AR,-38.0023,-57.5575,75.22,43,20,13.8,few clouds
124,Talnakh,RU,69.4865,88.3972,-13.22,94,90,7.29,overcast clouds
125,Saint George,US,37.1041,-113.5841,43.39,58,100,11.5,overcast clouds
126,Khasan,RU,42.4308,130.6434,32.29,61,0,2.93,clear sky
127,Comarapa,BO,-17.9,-64.4833,68.32,75,100,5.95,overcast clouds
128,Yumen,CN,40.2833,97.2,31.1,54,8,4.76,clear sky
129,Atuona,PF,-9.8,-139.0333,80.01,77,7,15.12,light rain
130,Balad,IQ,34.0164,44.1453,65.25,36,0,10.78,clear sky
131,Lavrentiya,RU,65.5833,-171.0,-19.66,89,14,3.0,few clouds
132,Anamur,TR,36.0751,32.8369,59.34,58,3,5.82,clear sky
133,Bonavista,CA,48.6499,-53.1147,9.7,74,100,27.87,overcast clouds
134,Qaanaaq,GL,77.484,-69.3632,-10.97,79,100,9.46,overcast clouds
135,Eagle Pass,US,28.7091,-100.4995,84.27,41,40,16.11,scattered clouds
136,Muhammadabad,IN,25.6333,83.75,62.65,32,0,3.87,clear sky
137,Jutai,BR,-5.1833,-68.9,83.05,85,98,1.05,heavy intensity rain
138,Butaritari,KI,3.0707,172.7902,81.18,78,100,10.92,overcast clouds
139,Daru,PG,-9.0763,143.2092,77.72,89,100,8.63,overcast clouds
140,Provideniya,RU,64.3833,-173.3,-12.12,86,14,4.25,few clouds
141,Rio Branco Do Sul,BR,-25.19,-49.3142,77.32,87,99,2.95,overcast clouds
142,Norman Wells,CA,65.282,-126.8329,-5.76,84,75,2.3,mist
143,Richards Bay,ZA,-28.783,32.0377,71.1,89,100,1.52,overcast clouds
144,Nishihara,JP,26.1842,127.7558,58.28,69,40,13.8,scattered clouds
145,Albany,US,42.6001,-73.9662,39.02,73,66,1.99,broken clouds
146,Vera Cruz,BR,-12.6333,-41.0333,83.77,52,99,7.25,overcast clouds
147,Borazjan,IR,29.2666,51.2159,70.52,52,80,11.45,broken clouds
148,Canyon Lake,US,29.8752,-98.2625,78.24,70,97,7.0,overcast clouds
149,Lac Du Bonnet,CA,50.2536,-96.0612,19.72,66,97,8.05,overcast clouds
150,Ust-Kuyga,RU,70.0167,135.6,-22.05,92,100,6.93,overcast clouds
151,Gamba,GA,-2.65,10.0,76.55,90,100,7.67,overcast clouds
152,Salur,IN,18.5333,83.2167,69.75,70,0,1.72,clear sky
153,Marzuq,YE,14.4,46.4667,66.42,60,0,5.95,clear sky
154,Pevek,RU,69.7008,170.3133,-26.99,94,20,4.43,few clouds
155,Misratah,LY,32.3754,15.0925,62.62,55,94,3.47,overcast clouds
156,Butte,US,39.6499,-121.5677,42.82,86,100,20.71,light rain
157,Faanui,PF,-16.4833,-151.75,82.62,72,16,11.39,few clouds
158,Bergen,NO,60.392,5.328,39.87,92,75,5.75,broken clouds
159,Qaqortoq,GL,60.7167,-46.0333,17.19,77,100,4.12,light snow
160,Winneba,GH,5.3511,-0.6231,82.0,84,99,12.46,overcast clouds
161,Karratha,AU,-20.7377,116.8463,83.48,74,83,8.66,broken clouds
162,Taltal,CL,-25.4,-70.4833,73.78,68,20,7.67,few clouds
163,Luderitz,NA,-26.6481,15.1594,63.3,79,0,15.82,clear sky
164,Pangai,TO,-19.8,-174.35,80.71,83,40,9.22,scattered clouds
165,Fortuna,US,40.5982,-124.1573,46.98,87,100,1.01,overcast clouds
166,Leshukonskoye,RU,64.8989,45.7622,-1.39,99,92,4.81,overcast clouds
167,Jamestown,US,42.097,-79.2353,43.52,40,0,19.57,clear sky
168,Barrow,US,71.2906,-156.7887,-12.98,77,100,25.32,light snow
169,Pierre,US,44.3683,-100.351,40.86,68,0,10.36,clear sky
170,Strezhevoy,RU,60.7333,77.5889,2.8,99,99,4.45,overcast clouds
171,Puliyankudi,IN,9.1667,77.4167,69.37,74,11,2.62,few clouds
172,Bilma,NE,18.6853,12.9164,79.52,9,0,6.38,clear sky
173,Asyut,EG,27.181,31.1837,60.98,28,3,6.6,clear sky
174,Nemuro,JP,43.3236,145.575,17.82,80,4,20.29,clear sky
175,Udomlya,RU,57.8794,34.9925,25.07,95,100,9.66,light snow
176,Charcas,MX,23.1333,-101.1167,77.0,15,100,11.18,overcast clouds
177,Tasiilaq,GL,65.6145,-37.6368,21.51,76,100,8.48,overcast clouds
178,Port Elizabeth,ZA,-33.918,25.5701,70.11,88,75,12.66,broken clouds
179,Clyde River,CA,70.4692,-68.5914,-21.77,63,93,5.75,overcast clouds
180,Aitape,PG,-3.1374,142.3475,77.29,88,84,5.41,broken clouds
181,Chokurdakh,RU,70.6333,147.9167,-16.22,97,100,6.46,overcast clouds
182,Ondangwa,NA,-17.9167,15.95,86.0,21,98,16.11,overcast clouds
